Order,Combination,ID,logL,deltaL,bp-RELL,p-KH,p-SH,c-ELW,p-AU,rank,rooted_incstance_cluster,is_kept,Combination,final_tree
431,hg19_G5_v1,47,-8242.601854,1.844060291,0.006,0.211,0.769,0.008117657,0.381050995,27,-,0,MER11s,
432,hg19_G5_v1,13,-8242.742765,1.984971472,0.01,0.194,0.736,0.00690033,0.037808261,28,-,0,MER11s,
433,hg19_G5_v1,53,-8242.766997,2.009203393,0.002,0.112,0.753,0.005604732,0.188512421,29,-,0,MER11s,
434,hg19_G5_v1,55,-8242.772549,2.014754889,0,0.089,0.762,0.004946212,0.085458925,30,-,0,MER11s,
435,hg19_G5_v1,8,-8242.775963,2.018169478,0.002,0.108,0.748,0.005411616,0.112656824,31,-,0,MER11s,
436,hg19_G5_v1,6,-8242.775434,2.017639699,0.001,0.091,0.757,0.0048443,0.246657607,32,-,0,MER11s,
437,hg19_G5_v1,117,-8242.78258,2.0247858,0.016,0.153,0.728,0.00945587,0.206904442,33,-,0,MER11s,
438,hg19_G5_v1,7,-8242.782129,2.024334515,0,0.106,0.751,0.005326865,0.093222445,34,-,0,MER11s,
439,hg19_G5_v1,54,-8242.891341,2.13354698,0,0.089,0.722,0.004681661,0.027051549,35,-,0,MER11s,
440,hg19_G5_v1,34,-8243.007217,2.249422617,0.008,0.212,0.62,0.009765779,0.293366908,36,-,0,MER11s,
441,hg19_G5_v1,38,-8243.062064,2.304270451,0.001,0.158,0.642,0.005771313,0.028869167,37,-,0,MER11s,
442,hg19_G5_v1,19,-8243.070039,2.312245093,0.002,0.16,0.64,0.00554383,0.004910945,38,-,0,MER11s,
443,hg19_G5_v1,96,-8243.074028,2.31623446,0.026,0.221,0.617,0.013251788,0.442315498,39,-,2,MER11s,
444,hg19_G5_v1,51,-8243.076992,2.31919809,0.004,0.093,0.669,0.004990474,0.101887973,40,-,0,MER11s,
445,hg19_G5_v1,9,-8243.112369,2.35457488,0.001,0.075,0.658,0.003854306,9.01E-07,41,-,0,MER11s,
446,hg19_G5_v1,25,-8243.18567,2.427875858,0.008,0.191,0.584,0.008070657,0.207867461,42,-,0,MER11s,
447,hg19_G5_v1,24,-8243.185686,2.427891912,0.01,0.191,0.584,0.008067578,0.211340438,43,-,0,MER11s,
448,hg19_G5_v1,92,-8243.198917,2.44112285,0,0.196,0.561,0.008187312,0.582925615,44,-,1,MER11s,
449,hg19_G5_v1,72,-8243.203498,2.445704367,0.004,0.202,0.563,0.008230037,0.596544752,45,-,1,MER11s,
450,hg19_G5_v1,73,-8243.207985,2.450190649,0.005,0.2,0.563,0.008152233,0.598716096,46,-,1,MER11s,
451,hg19_G5_v1,94,-8243.218467,2.46067337,0.005,0.192,0.563,0.008136166,0.581169029,47,-,1,MER11s,
452,hg19_G5_v1,93,-8243.218889,2.46109498,0.008,0.193,0.563,0.008130576,0.576580618,48,-,1,MER11s,
